path,package,loc,function_count,type_count,sha256,rust_module
mod/auth/oauth2/syncdb/syncdb.go,syncdb,79,6,2,fc0863638f071d271327376a2283b0528480fd426fac6fa075d0db078427016c,src/ported/mod_auth_oauth2_syncdb_syncdb_077.rs
mod/auth/oauth2/syncdb/syncdb_test.go,syncdb,95,5,0,4216718bdc40a3d5d378e31858adbdce7d29e4a098ddee35567ac3a434bd957b,src/ported/mod_auth_oauth2_syncdb_syncdb_test_078.rs
mod/auth/register/register.go,register,315,14,2,2c34335d3b7601f60f3c882db03a0ee55ac2499609d75ecbc72cb38f7eab519e,src/ported/mod_auth_register_register_079.rs
mod/auth/token.go,auth,91,5,1,f81e5a99c4e2eac67a14991e8d3f158b6c91d3100324ee2f729e6e4a328ac08b,src/ported/mod_auth_token_080.rs
mod/cluster/wakeonlan/wakeonlan.go,wakeonlan,63,2,1,5e055c473cad60ad402b811fb9a36936598d7adb1b335963dd139c1b6dd5e6b5,src/ported/mod_cluster_wakeonlan_wakeonlan_081.rs
mod/compatibility/browser.go,compatibility,60,2,0,f2689052ca50086fa376a83f2c308b23772c03d267566770cf5189f5b85464b3,src/ported/mod_compatibility_browser_082.rs
mod/compatibility/compatibility.go,compatibility,10,0,0,12a5e1230193e3be3b2c0497a37441be09684ba62e846673f2ee69be1aca1354,src/ported/mod_compatibility_compatibility_083.rs
mod/console/console.go,console,32,2,1,033596eadc947677de22c1b5178ac425d4ca86d6eac2b434525733b754a9e83b,src/ported/mod_console_console_084.rs
mod/database/database.go,database,120,12,1,0d2a2a6050ba72f2c10b7a16adfb65e84e94319c3663b48cd99b0d9931488aa3,src/ported/mod_database_database_085.rs
mod/database/database_core.go,database,189,11,0,4acc04e18d40f4fac06365fdac0464f07bfa73e01dc2f7dee412f37602261dd0,src/ported/mod_database_database_core_086.rs
mod/database/database_core_test.go,database,133,3,0,0726755e9c343de924f6693e6c14850b7f6fc709a9da93c36d26b9390ccdf1a5,src/ported/mod_database_database_core_test_087.rs
mod/database/database_openwrt.go,database,208,13,0,1988ef5419c581d0ced0b0578f9cb4dcbbe0ff905586e6201efe23cf8d313fb5,src/ported/mod_database_database_openwrt_088.rs
mod/disk/diskcapacity/dftool/dftool.go,dftool,96,1,1,cadda68fbf32f7bda914b9a3dc8e74ca42986eaa538dd3c73e58d122deb17517,src/ported/mod_disk_diskcapacity_dftool_dftool_089.rs
mod/disk/diskcapacity/diskcapacity.go,diskcapacity,134,4,2,0fc5318c2884f7e90ae0e77f78e3f471ad9c22d5c868af4249261afbeec476bb,src/ported/mod_disk_diskcapacity_diskcapacity_090.rs
mod/disk/diskfs/devices_linux.go,diskfs,429,20,2,b516bc81a27a12897bfcf9982034d88bc774fd5ceac170fee28793b3046710fd,src/ported/mod_disk_diskfs_devices_linux_091.rs
mod/disk/diskfs/diskfs.go,diskfs,276,10,3,97beb5f5581bfeec48a61f158bf65a4e12dd47f84d8c40a85d89de43fb724ebf,src/ported/mod_disk_diskfs_diskfs_092.rs
mod/disk/diskfs/disklb.go,diskfs,24,1,0,39f69fcb7d9488719592dbe269e7b7cbf17d1b7b066475dc7ba8bc4d7d2f324b,src/ported/mod_disk_diskfs_disklb_093.rs
mod/disk/diskmg/diskmg.go,diskmg,504,14,6,fdf5db3d4080c6f91180000d42fab9a95925e3c44674cff9be74376ec5913538,src/ported/mod_disk_diskmg_diskmg_094.rs
