path,access,source,router,handler
/system/auth/register,public,auth.go:60,http,authAgent.HandleRegister
/system/auth/u/list,authenticated,auth.go:153,userRouter,authAgent.SwitchableAccountManager.HandleSwitchableAccountListing
/system/auth/u/logoutAll,authenticated,auth.go:155,userRouter,authAgent.SwitchableAccountManager.HandleLogoutAllAccounts
/system/auth/u/p/list,public,auth.go:158,http,"func(w http.ResponseWriter, r *http.Request"
/system/auth/u/switch,authenticated,auth.go:154,userRouter,authAgent.SwitchableAccountManager.HandleAccountSwitch
/system/auth/unregister,admin,user.go:98,adminRouter,authAgent.HandleUnregister
/system/auth/whitelist/enable,admin,auth.go:123,adminRouter,authAgent.WhitelistManager.HandleSetWhitelistEnable
/system/auth/whitelist/list,admin,auth.go:124,adminRouter,authAgent.WhitelistManager.HandleListWhitelistedIPs
/system/auth/whitelist/set,admin,auth.go:125,adminRouter,authAgent.WhitelistManager.HandleAddWhitelistedIP
/system/auth/whitelist/unset,admin,auth.go:126,adminRouter,authAgent.WhitelistManager.HandleRemoveWhitelistedIP
/system/autologin/create,admin,setting.advance.go:49,adminRouter,autoLoginHandler.HandleUserTokenCreation
/system/autologin/delete,admin,setting.advance.go:50,adminRouter,autoLoginHandler.HandleUserTokenRemoval
/system/autologin/list,admin,setting.advance.go:48,adminRouter,autoLoginHandler.HandleUserTokensListing
/system/bootflags,admin,startup.flags.go:39,adminRouter,handleBootFlagsFunction
/system/cluster/record,authenticated,cluster.go:57,router,NeighbourDiscoverer.HandleScanRecord
/system/cluster/scan,authenticated,cluster.go:56,router,NeighbourDiscoverer.HandleScanningRequest
/system/cluster/wol,authenticated,cluster.go:58,router,NeighbourDiscoverer.HandleWakeOnLan
/system/csrf/new,authenticated,security.go:42,router,CSRFTokenManager.HandleNewToken
/system/desktop/createShortcut,authenticated,desktop.go:42,router,desktop_shortcutHandler
/system/desktop/files,authenticated,desktop.go:38,router,desktop_fileLocation_handler
/system/desktop/host,authenticated,desktop.go:39,router,desktop_hostdetailHandler
/system/desktop/listDesktop,authenticated,desktop.go:36,router,desktop_listFiles
/system/desktop/opr/renameShortcut,authenticated,desktop.go:45,router,desktop_handleShortcutRename
/system/desktop/preference,authenticated,desktop.go:41,router,desktop_preference_handler
/system/desktop/theme,authenticated,desktop.go:37,router,desktop_theme_handler
/system/desktop/user,authenticated,desktop.go:40,router,desktop_handleUserInfo
/system/disk/alpnas/list,authenticated,disk_alpnas.go:78,authRouter,alpnasHandleDriveList
/system/disk/alpnas/mount,authenticated,disk_alpnas.go:80,authRouter,alpnasHandleDriveMount
/system/disk/alpnas/rescan,authenticated,disk_alpnas.go:79,authRouter,alpnasHandleDriveRescan
/system/disk/alpnas/unmount,authenticated,disk_alpnas.go:81,authRouter,alpnasHandleDriveUnmount
/system/disk/devices/list,admin,disk.go:186,adminRouter,raidManager.HandleListUsableDevices
/system/disk/devices/model,admin,disk.go:187,adminRouter,raidManager.HandleResolveDiskModelLabel
/system/disk/diskmg/format,admin,disk.go:210,adminRouter,"func(w http.ResponseWriter, r *http.Request"
/system/disk/diskmg/mount,admin,disk.go:205,adminRouter,"func(w http.ResponseWriter, r *http.Request"
/system/disk/diskmg/mpt,admin,disk.go:229,adminRouter,diskmg.HandleListMountPoints
/system/disk/diskmg/platform,admin,disk.go:204,adminRouter,diskmg.HandlePlatform
/system/disk/diskmg/view,authenticated,disk.go:203,authRouter,diskmg.HandleView
/system/disk/quota/quotaDist,public,quota.go:21,http,system_disk_quota_handleFileDistributionView
/system/disk/quota/quotaInfo,public,quota.go:20,http,system_disk_quota_handleQuotaInfo
/system/disk/quota/setQuota,public,quota.go:19,http,system_disk_quota_setQuota
/system/disk/raid/addMemeber,admin,disk.go:182,adminRouter,raidManager.HandleAddDiskToRAIDVol
/system/disk/raid/assemble,admin,disk.go:172,adminRouter,"func(w http.ResponseWriter, r *http.Request"
/system/disk/raid/assemble,admin,disk.go:190,adminRouter,raidManager.HandleRaidDevicesAssemble
/system/disk/raid/detail,admin,disk.go:180,adminRouter,raidManager.HandleLoadArrayDetail
/system/disk/raid/devinfo,admin,disk.go:181,adminRouter,raidManager.HandlListChildrenDeviceInfo
/system/disk/raid/format,admin,disk.go:179,adminRouter,raidManager.HandleFormatRaidDevice
/system/disk/raid/grow,admin,disk.go:178,adminRouter,raidManager.HandleGrowRAIDArray
/system/disk/raid/list,admin,disk.go:164,adminRouter,raidManager.HandleListRaidDevices
/system/disk/raid/new,admin,disk.go:165,adminRouter,raidManager.HandleCreateRAIDDevice
/system/disk/raid/overview,admin,disk.go:163,adminRouter,raidManager.HandleRenderOverview
/system/disk/raid/reload,admin,disk.go:191,adminRouter,raidManager.HandleMdadmFlushReload
/system/disk/raid/remove,admin,disk.go:166,adminRouter,"func(w http.ResponseWriter, r *http.Request"
/system/disk/raid/removeMemeber,admin,disk.go:183,adminRouter,raidManager.HandleRemoveDiskFromRAIDVol
/system/disk/smart/getSMART,authenticated,disk.go:145,authRouter,smartListener.GetSMART
/system/disk/space/largeFiles,authenticated,disk.go:87,router,lfs.HandleLargeFileList
/system/disk/space/list,authenticated,disk.go:78,router,diskspace.HandleDiskSpaceList
/system/disk/space/resolve,authenticated,disk.go:82,router,dc.HandleCapacityResolving
/system/disk/space/tmp,authenticated,disk.go:83,authRouter,dc.HandleTmpCapacityResolving
/system/file_system/clearTrash,authenticated,file_system.go:101,router,system_fs_clearTrashBin
/system/file_system/fileOpr,authenticated,file_system.go:91,router,system_fs_handleOpr
/system/file_system/getProperties,authenticated,file_system.go:104,router,system_fs_getFileProperties
/system/file_system/handleCacheRender,authenticated,file_system.go:112,router,system_fs_handleCacheRender
/system/file_system/handleFilePermission,authenticated,file_system.go:107,router,system_fs_handleFilePermission
/system/file_system/handleFolderCache,authenticated,file_system.go:111,router,system_fs_handleFolderCache
/system/file_system/listDir,authenticated,file_system.go:93,router,system_fs_handleList
/system/file_system/listDirHash,authenticated,file_system.go:94,router,system_fs_handleDirHash
/system/file_system/listDrives,authenticated,file_system.go:96,router,system_fs_listDrives
/system/file_system/listRoots,authenticated,file_system.go:95,router,system_fs_listRoot
/system/file_system/listTrash,authenticated,file_system.go:99,router,system_fs_scanTrashBin
/system/file_system/loadThumbnail,authenticated,file_system.go:113,router,system_fs_handleThumbnailLoad
/system/file_system/lowmemUpload,authenticated,file_system.go:87,router,system_fs_handleLowMemoryUpload
/system/file_system/newItem,authenticated,file_system.go:97,router,system_fs_handleNewObjects
/system/file_system/ongoing,authenticated,file_system.go:217,router,system_fs_HandleOnGoingTasks
/system/file_system/preference,authenticated,file_system.go:98,router,system_fs_handleUserPreference
/system/file_system/restoreTrash,authenticated,file_system.go:102,router,system_fs_restoreFile
/system/file_system/search,authenticated,file_system.go:108,router,system_fs_handleFileSearch
/system/file_system/share/checkShared,authenticated,file_system.go:205,router,shareManager.HandleShareCheck
/system/file_system/share/delete,authenticated,file_system.go:203,router,shareManager.HandleDeleteShare
/system/file_system/share/edit,authenticated,file_system.go:204,router,shareManager.HandleEditShare
/system/file_system/share/list,authenticated,file_system.go:206,router,shareManager.HandleListAllShares
/system/file_system/share/new,authenticated,file_system.go:202,router,shareManager.HandleCreateNewShare
/system/file_system/sortMode,authenticated,file_system.go:116,router,system_fs_handleFolderSortModePreference
/system/file_system/upload,authenticated,file_system.go:86,router,system_fs_handleUpload
/system/file_system/validateFileOpr,authenticated,file_system.go:90,router,system_fs_validateFileOpr
/system/file_system/versionHistory,authenticated,file_system.go:105,router,system_fs_FileVersionHistory
/system/file_system/ws/fileOpr,authenticated,file_system.go:92,router,system_fs_handleWebSocketOpr
/system/file_system/ws/listTrash,authenticated,file_system.go:100,router,system_fs_WebSocketScanTrashBin
/system/file_system/zipHandler,authenticated,file_system.go:103,router,system_fs_zipHandler
/system/id/ping,public,system.go:79,http,systemIdHandlePing
/system/id/requestInfo,public,system.go:36,http,systemIdHandleRequest
/system/info/getArOZInfo,public,system.info.go:132,http,infoServer.GetArOZInfo
/system/info/getCPUinfo,authenticated,system.info.go:82,router,info.GetCPUInfo
/system/info/getDriveStat,authenticated,system.info.go:84,router,info.GetDriveStat
/system/info/getRAMinfo,authenticated,system.info.go:88,authRouter,info.GetRamInfo
/system/info/getRuntimeInfo,authenticated,system.info.go:129,authRouter,InfoHandleGetRuntimeInfo
